Name,University,Location,Year of Establishment,Management,Course,Duration,Fees,Explore Link
"Wellfare Institute of Science, Technology and Management",AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2009,Private Un-Aided,Bachelor of Technology in Civil Engineering,4.00 years,₹95000.00,"https://www.careerguide.com/indian-colleges/wellfare-institute-of-science-technology-and-management,-andhra-pradesh"
"Wellfare Institute of Science, Technology and Management",AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2009,Private Un-Aided,Bachelor of Technology in Mechanical Engineering,4.00 years,₹90000.00,"https://www.careerguide.com/indian-colleges/wellfare-institute-of-science-technology-and-management,-andhra-pradesh"
PADMAVATHI COLLEGE OF TEACHER EDUCATION,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2017,University,B.Tech,4.00 years,₹227000.00,"https://www.careerguide.com/indian-colleges/padmavathi-college-of-teacher-education,-andhra-pradesh"
"INDIAN MARITIME UNIVERSITY, VISAKHAPATNAM",Indian MaritimeUniversity,"Andhra Pradesh, Visakhapatanam",2008,Central Government,B.Tech Naval Architecture and Ocean Engineering,4.00 years,₹225000.00,"https://www.careerguide.com/indian-colleges/indian-maritime-university-visakhapatnam,-andhra-pradesh"
"INDIAN MARITIME UNIVERSITY, VISAKHAPATNAM",Indian MaritimeUniversity,"Andhra Pradesh, Visakhapatanam",2008,Central Government,M.Tech Naval Architecture and Ocean Engineering,2.00 years,₹225000.00,"https://www.careerguide.com/indian-colleges/indian-maritime-university-visakhapatnam,-andhra-pradesh"
"VITS Group of Institutions Faculty of Engineering  School of Management,Sontyam, PIN-531173(CC-NU)",Jawaharlal Nehru TechnologicalUniversity,"Andhra Pradesh, Visakhapatanam",2008,Private Un-Aided,Bachelor of Technology in Mechanical Engineering,4.00 years,₹50000.00,"https://www.careerguide.com/indian-colleges/vits-group-of-institutions-faculty-of-engineering--school-of-managementsontyam-pin-531173(cc-nu),-andhra-pradesh"
"VITS Group of Institutions Faculty of Engineering  School of Management,Sontyam, PIN-531173(CC-NU)",Jawaharlal Nehru TechnologicalUniversity,"Andhra Pradesh, Visakhapatanam",2008,Private Un-Aided,Bachelor of Technology in Civil Engineering,4.00 years,₹50000.00,"https://www.careerguide.com/indian-colleges/vits-group-of-institutions-faculty-of-engineering--school-of-managementsontyam-pin-531173(cc-nu),-andhra-pradesh"
"VITS Group of Institutions Faculty of Engineering  School of Management,Sontyam, PIN-531173(CC-NU)",Jawaharlal Nehru TechnologicalUniversity,"Andhra Pradesh, Visakhapatanam",2008,Private Un-Aided,Bachelor of Technology in Electrical Engineering,4.00 years,₹50000.00,"https://www.careerguide.com/indian-colleges/vits-group-of-institutions-faculty-of-engineering--school-of-managementsontyam-pin-531173(cc-nu),-andhra-pradesh"
"Gonna Institute of Information Technology & Science, Gonnavanipalem, Aganampudi, Ward No. 56, G.V.M.C, PIN- 530046 (CC-6E)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2009,Private Un-Aided,B.Tech in Computer Science and Engineering,4.00 years,₹50000.00,"https://www.careerguide.com/indian-colleges/gonna-institute-of-information-technology-&-science-gonnavanipalem-aganampudi-ward-no.-56-g.v.m.c-pin--530046-(cc-6e),-andhra-pradesh"
"Gonna Institute of Information Technology & Science, Gonnavanipalem, Aganampudi, Ward No. 56, G.V.M.C, PIN- 530046 (CC-6E)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2009,Private Un-Aided,B.Tech in Electronics and Communication Engineering,4.00 years,₹50000.00,"https://www.careerguide.com/indian-colleges/gonna-institute-of-information-technology-&-science-gonnavanipalem-aganampudi-ward-no.-56-g.v.m.c-pin--530046-(cc-6e),-andhra-pradesh"
"Gonna Institute of Information Technology & Science, Gonnavanipalem, Aganampudi, Ward No. 56, G.V.M.C, PIN- 530046 (CC-6E)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2009,Private Un-Aided,B.Tech in Mechanical Engineering,4.00 years,₹50000.00,"https://www.careerguide.com/indian-colleges/gonna-institute-of-information-technology-&-science-gonnavanipalem-aganampudi-ward-no.-56-g.v.m.c-pin--530046-(cc-6e),-andhra-pradesh"
"Gonna Institute of Information Technology & Science, Gonnavanipalem, Aganampudi, Ward No. 56, G.V.M.C, PIN- 530046 (CC-6E)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2009,Private Un-Aided,B.Tech in Civil Engineering,4.00 years,₹50000.00,"https://www.careerguide.com/indian-colleges/gonna-institute-of-information-technology-&-science-gonnavanipalem-aganampudi-ward-no.-56-g.v.m.c-pin--530046-(cc-6e),-andhra-pradesh"
Gayatri Vidya Parishad College of Engineering,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1996,Private Un-Aided,Computer Science and Engineering Mechanical Engineering Electrical and Electronics Engineering Civil Engineering Electronics and Communication Engineering,4.00 years,₹108550.00,"https://www.careerguide.com/indian-colleges/gayatri-vidya-parishad-college-of-engineering-,-andhra-pradesh"
"Raghu Engineering College, Dakamarri Village, Bheemunipatnam Mandal,PIN-531162(CC-98)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2001,Private Un-Aided,Computer Science and Engineering Mechanical Engineering Electrical and Electronics Engineering Civil Engineering Electronics and Communication Engineering,4.00 years,₹80800.00,"https://www.careerguide.com/indian-colleges/raghu-engineering-college-dakamarri-village-bheemunipatnam-mandalpin-531162(cc-98),-andhra-pradesh"
"Vignan's Institute of Information Technology, Beside VSEZ, Duvvada, Gajuwaka,Vadlapudi (P.O)Pin-530049  (CC-L3)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2002,Private Un-Aided,B.Tech in Computer Science and Engineering,4.00 years,₹125000.00,"https://www.careerguide.com/indian-colleges/vignan's-institute-of-information-technology-beside-vsez-duvvada-gajuwakavadlapudi-(p.o)pin-530049--(cc-l3),-andhra-pradesh"
"Vignan's Institute of Information Technology, Beside VSEZ, Duvvada, Gajuwaka,Vadlapudi (P.O)Pin-530049  (CC-L3)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2002,Private Un-Aided,B.Tech in Electronics and Communication Engineering,4.00 years,₹125000.00,"https://www.careerguide.com/indian-colleges/vignan's-institute-of-information-technology-beside-vsez-duvvada-gajuwakavadlapudi-(p.o)pin-530049--(cc-l3),-andhra-pradesh"
"Vignan's Institute of Information Technology, Beside VSEZ, Duvvada, Gajuwaka,Vadlapudi (P.O)Pin-530049  (CC-L3)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2002,Private Un-Aided,B.Tech in Electrical and Electronics Engineering,4.00 years,₹125000.00,"https://www.careerguide.com/indian-colleges/vignan's-institute-of-information-technology-beside-vsez-duvvada-gajuwakavadlapudi-(p.o)pin-530049--(cc-l3),-andhra-pradesh"
"Vignan's Institute of Information Technology, Beside VSEZ, Duvvada, Gajuwaka,Vadlapudi (P.O)Pin-530049  (CC-L3)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2002,Private Un-Aided,B.Tech in Mechanical Engineering,4.00 years,₹125000.00,"https://www.careerguide.com/indian-colleges/vignan's-institute-of-information-technology-beside-vsez-duvvada-gajuwakavadlapudi-(p.o)pin-530049--(cc-l3),-andhra-pradesh"
"Vignan's Institute of Information Technology, Beside VSEZ, Duvvada, Gajuwaka,Vadlapudi (P.O)Pin-530049  (CC-L3)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2002,Private Un-Aided,B.Tech in Civil Engineering,4.00 years,₹125000.00,"https://www.careerguide.com/indian-colleges/vignan's-institute-of-information-technology-beside-vsez-duvvada-gajuwakavadlapudi-(p.o)pin-530049--(cc-l3),-andhra-pradesh"
"N S Raju Institute of Engineering & Technology, Visakhapatnam",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2008,Private Un-Aided,Computer Science and Engineering Electronics and Communication Engineering Mechanical Engineering Civil Engineering Electrical and Electronics Engineering,4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/n-s-raju-institute-of-engineering-&-technology-visakhapatnam,-andhra-pradesh"
"Vignan's Institute of Engineering for Women, Kapujaggarupeta, Vadlapudi Post, Gajuwaka, PIN-530049(CC-NM)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2008,Private Un-Aided,B.Tech in Computer Science and Engineering,4.00 years,₹50000.00,"https://www.careerguide.com/indian-colleges/vignan's-institute-of-engineering-for-women-kapujaggarupeta-vadlapudi-post-gajuwaka-pin-530049(cc-nm),-andhra-pradesh"
"Vignan's Institute of Engineering for Women, Kapujaggarupeta, Vadlapudi Post, Gajuwaka, PIN-530049(CC-NM)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2008,Private Un-Aided,B.Tech in Electronics and Communication Engineering,4.00 years,₹50000.00,"https://www.careerguide.com/indian-colleges/vignan's-institute-of-engineering-for-women-kapujaggarupeta-vadlapudi-post-gajuwaka-pin-530049(cc-nm),-andhra-pradesh"
"Vignan's Institute of Engineering for Women, Kapujaggarupeta, Vadlapudi Post, Gajuwaka, PIN-530049(CC-NM)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2008,Private Un-Aided,B.Tech in Electrical and Electronics Engineering,4.00 years,₹50000.00,"https://www.careerguide.com/indian-colleges/vignan's-institute-of-engineering-for-women-kapujaggarupeta-vadlapudi-post-gajuwaka-pin-530049(cc-nm),-andhra-pradesh"
"Vignan's Institute of Engineering for Women, Kapujaggarupeta, Vadlapudi Post, Gajuwaka, PIN-530049(CC-NM)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2008,Private Un-Aided,B.Tech in Mechanical Engineering,4.00 years,₹50000.00,"https://www.careerguide.com/indian-colleges/vignan's-institute-of-engineering-for-women-kapujaggarupeta-vadlapudi-post-gajuwaka-pin-530049(cc-nm),-andhra-pradesh"
"Vignan's Institute of Engineering for Women, Kapujaggarupeta, Vadlapudi Post, Gajuwaka, PIN-530049(CC-NM)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2008,Private Un-Aided,B.Tech in Information Technology,4.00 years,₹50000.00,"https://www.careerguide.com/indian-colleges/vignan's-institute-of-engineering-for-women-kapujaggarupeta-vadlapudi-post-gajuwaka-pin-530049(cc-nm),-andhra-pradesh"
"Visakha Institute of Engineering & Technology, 57th Division,  Narava,  PIN- 530027(CC-NT)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2008,Private Un-Aided,Computer Science Engineering Electronics and Communication Engineering Mechanical Engineering Civil Engineering Electrical and Electronics Engineering,4.00 years,₹60000.00,"https://www.careerguide.com/indian-colleges/visakha-institute-of-engineering-&-technology-57th-division--narava--pin--530027(cc-nt),-andhra-pradesh"
"Sai Ganapathi Engineering College for Women, Gidijala, Anandapuram (M),  PIN-531173 (CC-6F)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2013,Private Un-Aided,B.Tech in Civil Engineering,4.00 years,₹60000.00,"https://www.careerguide.com/indian-colleges/sai-ganapathi-engineering-college-for-women-gidijala-anandapuram-(m)--pin-531173-(cc-6f),-andhra-pradesh"
"Sai Ganapathi Engineering College for Women, Gidijala, Anandapuram (M),  PIN-531173 (CC-6F)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2013,Private Un-Aided,B.Tech in Computer Science and Engineering,4.00 years,₹60000.00,"https://www.careerguide.com/indian-colleges/sai-ganapathi-engineering-college-for-women-gidijala-anandapuram-(m)--pin-531173-(cc-6f),-andhra-pradesh"
"Sai Ganapathi Engineering College for Women, Gidijala, Anandapuram (M),  PIN-531173 (CC-6F)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2013,Private Un-Aided,B.Tech in Electronics and Communication Engineering,4.00 years,₹60000.00,"https://www.careerguide.com/indian-colleges/sai-ganapathi-engineering-college-for-women-gidijala-anandapuram-(m)--pin-531173-(cc-6f),-andhra-pradesh"
"Sai Ganapathi Engineering College for Women, Gidijala, Anandapuram (M),  PIN-531173 (CC-6F)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2013,Private Un-Aided,B.Tech in Mechanical Engineering,4.00 years,₹60000.00,"https://www.careerguide.com/indian-colleges/sai-ganapathi-engineering-college-for-women-gidijala-anandapuram-(m)--pin-531173-(cc-6f),-andhra-pradesh"
"Avanthi Institute of Engineering & Technology, Tamaram Village, Makavarapalem mandal, Narsipatnam , Pin-531113. (CC-81)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",1999,Private Un-Aided,B.Tech in Computer Science and Engineering,4.00 years,₹95000.00,"https://www.careerguide.com/indian-colleges/avanthi-institute-of-engineering-&-technology-tamaram-village-makavarapalem-mandal-narsipatnam--pin-531113.-(cc-81),-andhra-pradesh"
"Avanthi Institute of Engineering & Technology, Tamaram Village, Makavarapalem mandal, Narsipatnam , Pin-531113. (CC-81)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",1999,Private Un-Aided,B.Tech in Electronics and Communication Engineering,4.00 years,₹95000.00,"https://www.careerguide.com/indian-colleges/avanthi-institute-of-engineering-&-technology-tamaram-village-makavarapalem-mandal-narsipatnam--pin-531113.-(cc-81),-andhra-pradesh"
"Avanthi Institute of Engineering & Technology, Tamaram Village, Makavarapalem mandal, Narsipatnam , Pin-531113. (CC-81)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",1999,Private Un-Aided,B.Tech in Mechanical Engineering,4.00 years,₹95000.00,"https://www.careerguide.com/indian-colleges/avanthi-institute-of-engineering-&-technology-tamaram-village-makavarapalem-mandal-narsipatnam--pin-531113.-(cc-81),-andhra-pradesh"
"Avanthi Institute of Engineering & Technology, Tamaram Village, Makavarapalem mandal, Narsipatnam , Pin-531113. (CC-81)",JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",1999,Private Un-Aided,B.Tech in Civil Engineering,4.00 years,₹95000.00,"https://www.careerguide.com/indian-colleges/avanthi-institute-of-engineering-&-technology-tamaram-village-makavarapalem-mandal-narsipatnam--pin-531113.-(cc-81),-andhra-pradesh"
Anakapalle Merchants Association Konathala Subrahmanyam & Immidisetty Kanaka Raju College of Technology & Management,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Civil Engineering,4.00 years,₹35000.00,"https://www.careerguide.com/indian-colleges/anakapalle-merchants-association-konathala-subrahmanyam-&-immidisetty-kanaka-raju-college-of-technology-&-management,-andhra-pradesh"
Anakapalle Merchants Association Konathala Subrahmanyam & Immidisetty Kanaka Raju College of Technology & Management,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Mechanical Engineering,4.00 years,₹35000.00,"https://www.careerguide.com/indian-colleges/anakapalle-merchants-association-konathala-subrahmanyam-&-immidisetty-kanaka-raju-college-of-technology-&-management,-andhra-pradesh"
Anakapalle Merchants Association Konathala Subrahmanyam & Immidisetty Kanaka Raju College of Technology & Management,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Computer Science,4.00 years,₹35000.00,"https://www.careerguide.com/indian-colleges/anakapalle-merchants-association-konathala-subrahmanyam-&-immidisetty-kanaka-raju-college-of-technology-&-management,-andhra-pradesh"
Anakapalle Merchants Association Konathala Subrahmanyam & Immidisetty Kanaka Raju College of Technology & Management,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Electrical Engineering,4.00 years,₹35000.00,"https://www.careerguide.com/indian-colleges/anakapalle-merchants-association-konathala-subrahmanyam-&-immidisetty-kanaka-raju-college-of-technology-&-management,-andhra-pradesh"
Anakapalle Merchants Association Konathala Subrahmanyam & Immidisetty Kanaka Raju College of Technology & Management,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Electronics Engineering,4.00 years,₹35000.00,"https://www.careerguide.com/indian-colleges/anakapalle-merchants-association-konathala-subrahmanyam-&-immidisetty-kanaka-raju-college-of-technology-&-management,-andhra-pradesh"
Dr. Lankapalli Bullayya College of Engineering,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Civil Engineering,4.00 years,₹60000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college-of-engineering,-andhra-pradesh"
Dr. Lankapalli Bullayya College of Engineering,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Computer Science and Engineering,4.00 years,₹62000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college-of-engineering,-andhra-pradesh"
Dr. Lankapalli Bullayya College of Engineering,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Electrical and Electronics Engineering,4.00 years,₹61000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college-of-engineering,-andhra-pradesh"
Dr. Lankapalli Bullayya College of Engineering,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Electronics and Communication Engineering,4.00 years,₹63000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college-of-engineering,-andhra-pradesh"
Dr. Lankapalli Bullayya College of Engineering,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Mechanical Engineering,4.00 years,₹64000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college-of-engineering,-andhra-pradesh"
College of Engineering for Women,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2010,State Government,B.Tech.,4.00 years,₹87498.00,"https://www.careerguide.com/indian-colleges/college-of-engineering-for-women,-andhra-pradesh"
Andhra University College of Engineering(A),AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1955,State Government,B.Tech,4.00 years,₹100000.00,"https://www.careerguide.com/indian-colleges/andhra-university-college-of-engineering(a),-andhra-pradesh"
Gayatri Vidya Parishad College for Degree & PG courses (A),AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1989,Private Un-Aided,B.Tech,4.00 years,₹277200.00,"https://www.careerguide.com/indian-colleges/gayatri-vidya-parishad-college-for-degree-&-pg-courses-(a),-andhra-pradesh"
College of Science & Technology,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1926,University,B.Tech,4.00 years,₹990000.00,"https://www.careerguide.com/indian-colleges/college-of-science-&-technology,-andhra-pradesh"
Karunya College of Education,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2004,Private Un-Aided,B.Tech,4.00 years,₹480000.00,"https://www.careerguide.com/indian-colleges/karunya-college-of-education,-andhra-pradesh"
Anil Neerukonda Institute Of Technology & Sciences,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2001,Private Un-Aided,B.Tech,4.00 years,₹59950.00,"https://www.careerguide.com/indian-colleges/anil-neerukonda-institute-of-technology-&-sciences,-andhra-pradesh"
Dr. Lankapalli Bullayya College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1973,Private Un-Aided,B.Tech Civil Engineering,4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college,-andhra-pradesh"
Dr. Lankapalli Bullayya College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1973,Private Un-Aided,B.Tech Computer Science,4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college,-andhra-pradesh"
Dr. Lankapalli Bullayya College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1973,Private Un-Aided,B.Tech ECE,4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college,-andhra-pradesh"
Dr. Lankapalli Bullayya College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1973,Private Un-Aided,B.Tech EEE,4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college,-andhra-pradesh"
Sanketika Vidya Parishad Engineering College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2003,Private Un-Aided,B.Tech,4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/sanketika-vidya-parishad-engineering-college,-andhra-pradesh"
Sanketika Vidya Parishad Engineering College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2003,Private Un-Aided,B.Tech (CSE),4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/sanketika-vidya-parishad-engineering-college,-andhra-pradesh"
Pydah College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1991,Private Un-Aided,B.Tech in Computer Science Engineering,4.00 years,₹65000.00,"https://www.careerguide.com/indian-colleges/pydah-college,-andhra-pradesh"
Pydah College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1991,Private Un-Aided,B.Tech in Mechanical Engineering,4.00 years,₹65000.00,"https://www.careerguide.com/indian-colleges/pydah-college,-andhra-pradesh"
Pydah College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1991,Private Un-Aided,B.Tech in Civil Engineering,4.00 years,₹65000.00,"https://www.careerguide.com/indian-colleges/pydah-college,-andhra-pradesh"
Raghu Institute Of Technology,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2007,Private Un-Aided,B.Tech in Computer Science Engineering,4.00 years,₹61000.00,"https://www.careerguide.com/indian-colleges/raghu-institute-of-technology,-andhra-pradesh"
Raghu Institute Of Technology,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2007,Private Un-Aided,B.Tech in Mechanical Engineering,4.00 years,₹61000.00,"https://www.careerguide.com/indian-colleges/raghu-institute-of-technology,-andhra-pradesh"
Raghu Institute Of Technology,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2007,Private Un-Aided,B.Tech in Electronics and Communication Engineering,4.00 years,₹61000.00,"https://www.careerguide.com/indian-colleges/raghu-institute-of-technology,-andhra-pradesh"
Raghu Institute Of Technology,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2007,Private Un-Aided,B.Tech in Electrical and Electronics Engineering,4.00 years,₹61000.00,"https://www.careerguide.com/indian-colleges/raghu-institute-of-technology,-andhra-pradesh"
Raghu Institute Of Technology,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2007,Private Un-Aided,B.Tech in Civil Engineering,4.00 years,₹61000.00,"https://www.careerguide.com/indian-colleges/raghu-institute-of-technology,-andhra-pradesh"
